work_item_id,parent_work_item_id,kind,title,body,labels,sprint
11,1,task,TMJ-ETL-004 - Gerar checklist Markdown (00_docx_as_spec) a partir do spec,"*ID:* TMJ-ETL-004
*Sprint:* Sprint 1 — Checklist do DOCX como contrato
*Épico:* DOCX como Spec de Dados

**Sprint:** Sprint 1 — Checklist do DOCX como contrato
**Épico:** DOCX como Spec de Dados

**Contexto:** Precisamos de um artefato estável (Markdown) que vira contrato entre spec e pipeline (status OK/GAP/INCONSISTENTE).
**Escopo:**
- Inclui: gerador de Markdown do checklist com colunas padronizadas e itens obrigatórios
- Exclui: inferir números/métricas reais (isso depende das fontes)

**Implementação (passos):**
- Definir um modelo `DocxSpec` (seções, figuras, tabelas, definições) serializável.
- Implementar `render_docx_as_spec_md(spec) -> str` e escrever no path de saída.
- Incluir explicitamente no checklist o item ""Shows por dia (12/12, 13/12, 14/12)"" como requisito obrigatório.

**Critérios de aceite:**
- [ ] Saída Markdown contém tabela de checklist com colunas fixas e status inicial preenchido
- [ ] O item ""Shows por dia (12/12, 13/12, 14/12)"" existe no checklist gerado
- [ ] Docstring adicionada (PEP257) descrevendo objetivo, entradas, saídas e exceções
- [ ] (se aplicável) Testes unitários adicionados e passando

**Arquivos afetados:**
- `npbb/core/spec/spec_models.py`
- `npbb/core/spec/render_markdown.py`
- `npbb/etl/cli_spec.py`

**Dependências:**
- TMJ-ETL-002
- TMJ-ETL-003

---
**Épico:** TMJ 2025 - DOCX como Spec de Dados
**Sprint:** Sprint 1
**ID legado:** TMJ-ETL-011
","tmj2025,etl,task,docx-como-spec-de-dados,sprint-1",Sprint 1
12,1,task,TMJ-ETL-005 - Testes do spec do DOCX (fixtures + unit tests),"*ID:* TMJ-ETL-005
*Sprint:* Sprint 1 — Checklist do DOCX como contrato
*Épico:* DOCX como Spec de Dados

**Sprint:** Sprint 1 — Checklist do DOCX como contrato
**Épico:** DOCX como Spec de Dados

**Contexto:** O spec precisa ser testável para evitar regressões quando o template DOCX mudar.
**Escopo:**
- Inclui: fixtures mínimas de DOCX e testes unitários para seções/figuras/tabelas e render
- Exclui: testes de integração com banco

**Implementação (passos):**
- Criar um DOCX mínimo em `tests/fixtures/docx/min_template.docx` para cobrir headings, uma tabela e uma figura.
- Escrever testes para `extract_sections`, `extract_figures`, `extract_tables` e `render_docx_as_spec_md`.
- Garantir que os testes validem estrutura (não números do relatório).

**Critérios de aceite:**
- [ ] Testes unitários cobrem extração de seções, figuras e tabelas
- [ ] Testes unitários cobrem renderização do checklist Markdown
- [ ] Docstring adicionada (PEP257) descrevendo objetivo, entradas, saídas e exceções
- [ ] (se aplicável) Testes unitários adicionados e passando

**Arquivos afetados:**
- `tests/fixtures/docx/min_template.docx`
- `tests/test_docx_spec.py`

**Dependências:**
- TMJ-ETL-004

---
**Épico:** TMJ 2025 - DOCX como Spec de Dados
**Sprint:** Sprint 1
**ID legado:** TMJ-ETL-012
","tmj2025,etl,task,docx-como-spec-de-dados,sprint-1",Sprint 1
13,1,task,TMJ-ETL-006 - Definir schema de mapeamento (DOCX -> schema/marts) e formato YAML,"*ID:* TMJ-ETL-006
*Sprint:* Sprint 2 — Mapeamento DOCX para schema e marts
*Épico:* DOCX como Spec de Dados

**Sprint:** Sprint 2 — Mapeamento DOCX para schema e marts
**Épico:** DOCX como Spec de Dados

**Contexto:** Para gerar o relatório do banco, cada item do checklist precisa apontar para tabelas/campos e regras de cálculo, com fontes e validações.
**Escopo:**
- Inclui: modelo de dados (classes) para mapping e definição do formato de arquivo YAML
- Exclui: criação de views/marts no banco (fica no épico de Normalização)

**Implementação (passos):**
- Definir `RequirementMapping` e `MartContract` com campos mínimos (item_docx, tabela.campo, regra_calculo, fontes, validacoes).
- Definir um schema YAML para armazenar mappings e contratos de views (com exemplos).
- Implementar validação de schema do YAML (campos obrigatórios, domínios e tipos).

**Critérios de aceite:**
- [ ] Existe um schema de mapping versionável (modelos Python + YAML de exemplo)
- [ ] Validação do YAML falha com mensagens claras quando campos obrigatórios faltam
- [ ] Docstring adicionada (PEP257) descrevendo objetivo, entradas, saídas e exceções
- [ ] (se aplicável) Testes unitários adicionados e passando

**Arquivos afetados:**
- `npbb/core/spec/mapping_models.py`
- `npbb/core/spec/mapping_schema.yml`

**Dependências:**
- TMJ-ETL-004

---
**Épico:** TMJ 2025 - DOCX como Spec de Dados
**Sprint:** Sprint 2
**ID legado:** TMJ-ETL-013
","tmj2025,etl,task,docx-como-spec-de-dados,sprint-2",Sprint 2
14,1,task,TMJ-ETL-007 - Parser do mapping YAML e normalização de referências,"*ID:* TMJ-ETL-007
*Sprint:* Sprint 2 — Mapeamento DOCX para schema e marts
*Épico:* DOCX como Spec de Dados

**Sprint:** Sprint 2 — Mapeamento DOCX para schema e marts
**Épico:** DOCX como Spec de Dados

**Contexto:** Precisamos carregar o mapping como fonte de verdade para validação e geração de documentação (sem hardcode).
**Escopo:**
- Inclui: parser do YAML + normalização de referências (`table.field`, `mart_report_*`)
- Exclui: execução real de queries no banco

**Implementação (passos):**
- Implementar `load_mapping(path) -> MappingSpec` com validação e normalização.
- Normalizar referências de destino para um formato único (ex.: `schema.table.field` opcional).
- Garantir mensagens de erro com linha/coluna quando possível (no parsing YAML).

**Critérios de aceite:**
- [ ] Mapping YAML é carregado em objetos tipados e normalizados
- [ ] Erros de parsing/validação apontam o item e o campo que falhou
- [ ] Docstring adicionada (PEP257) descrevendo objetivo, entradas, saídas e exceções
- [ ] (se aplicável) Testes unitários adicionados e passando

**Arquivos afetados:**
- `npbb/core/spec/mapping_loader.py`
- `npbb/core/spec/mapping_models.py`

**Dependências:**
- TMJ-ETL-006

---
**Épico:** TMJ 2025 - DOCX como Spec de Dados
**Sprint:** Sprint 2
**ID legado:** TMJ-ETL-014
","tmj2025,etl,task,docx-como-spec-de-dados,sprint-2",Sprint 2
15,1,task,TMJ-ETL-008 - Validar cobertura: todo item do checklist tem mapping,"*ID:* TMJ-ETL-008
*Sprint:* Sprint 2 — Mapeamento DOCX para schema e marts
*Épico:* DOCX como Spec de Dados

**Sprint:** Sprint 2 — Mapeamento DOCX para schema e marts
**Épico:** DOCX como Spec de Dados

**Contexto:** O risco de omissão acontece quando um item do DOCX não tem correspondência no banco, ou quando falta regra/fonte/validação.
**Escopo:**
- Inclui: verificador de completude do mapping vs checklist e regras mínimas por item
- Exclui: extração de dados das fontes (PDF/XLSX/PPTX)

**Implementação (passos):**
- Implementar `validate_mapping_coverage(checklist, mapping) -> list[Finding]`.
- Regras mínimas: destino (tabela/view) obrigatório; regra de cálculo obrigatória; fonte(s) obrigatória; validações mínimas quando derivado.
- Produzir saída em formato consumível (JSON/Markdown) para ser lida pelo gate.

**Critérios de aceite:**
- [ ] Validador identifica itens sem mapping e itens com mapping incompleto
- [ ] Saída do validador lista findings com severidade e referência ao item do DOCX
- [ ] Docstring adicionada (PEP257) descrevendo objetivo, entradas, saídas e exceções
- [ ] (se aplicável) Testes unitários adicionados e passando

**Arquivos afetados:**
- `npbb/core/spec/mapping_validate.py`
- `npbb/core/spec/spec_models.py`

**Dependências:**
- TMJ-ETL-007

---
**Épico:** TMJ 2025 - DOCX como Spec de Dados
**Sprint:** Sprint 2
**ID legado:** TMJ-ETL-015
","tmj2025,etl,task,docx-como-spec-de-dados,sprint-2",Sprint 2
16,1,task,TMJ-ETL-009 - Gerar documentação do mapping (03_requirements_to_schema_mapping),"*ID:* TMJ-ETL-009
*Sprint:* Sprint 2 — Mapeamento DOCX para schema e marts
*Épico:* DOCX como Spec de Dados

**Sprint:** Sprint 2 — Mapeamento DOCX para schema e marts
**Épico:** DOCX como Spec de Dados

**Contexto:** O time precisa de documentação gerada a partir do mapping para evitar divergência entre o que está implementado e o que está documentado.
**Escopo:**
- Inclui: gerador Markdown do mapeamento (tabela item->tabela.campo->regra->fonte->validação)
- Exclui: editar manualmente o documento gerado

**Implementação (passos):**
- Implementar `render_mapping_md(checklist, mapping) -> str`.
- Incluir colunas de validação e observações de regua de publico (entradas validadas, opt-in, vendidos, publico unico).
- Integrar no CLI `spec:render-mapping` para produzir arquivo de saída.

**Critérios de aceite:**
- [ ] Documento gerado reflete exatamente o mapping YAML (sem conteúdo inventado)
- [ ] Documento explicita regua de publico por métrica quando aplicável
- [ ] Docstring adicionada (PEP257) descrevendo objetivo, entradas, saídas e exceções
- [ ] (se aplicável) Testes unitários adicionados e passando

**Arquivos afetados:**
- `npbb/core/spec/render_mapping_md.py`
- `npbb/etl/cli_spec.py`

**Dependências:**
- TMJ-ETL-008

---
**Épico:** TMJ 2025 - DOCX como Spec de Dados
**Sprint:** Sprint 2
**ID legado:** TMJ-ETL-016
","tmj2025,etl,task,docx-como-spec-de-dados,sprint-2",Sprint 2
17,1,task,TMJ-ETL-010 - Testes do mapping (loader + validador + render),"*ID:* TMJ-ETL-010
*Sprint:* Sprint 2 — Mapeamento DOCX para schema e marts
*Épico:* DOCX como Spec de Dados

**Sprint:** Sprint 2 — Mapeamento DOCX para schema e marts
**Épico:** DOCX como Spec de Dados

**Contexto:** O mapping e o validador são o principal mecanismo anti-omissão antes de extrair dados e gerar o Word.
**Escopo:**
- Inclui: testes unitários para `load_mapping`, `validate_mapping_coverage` e `render_mapping_md`
- Exclui: testes de integração com banco e extractors

**Implementação (passos):**
- Criar fixture de YAML mínimo e YAML inválido (campos faltantes).
- Testar cenários: item sem mapping, item com regra ausente, item derivado sem validações.
- Validar que o render inclui colunas e campos obrigatórios.

**Critérios de aceite:**
- [ ] Testes cobrem casos de sucesso e falha do loader/validador
- [ ] Testes cobrem render do mapeamento (snapshot simples)
- [ ] Docstring adicionada (PEP257) descrevendo objetivo, entradas, saídas e exceções
- [ ] (se aplicável) Testes unitários adicionados e passando

**Arquivos afetados:**
- `tests/test_spec_mapping.py`
- `tests/fixtures/spec/mapping_min.yml`

**Dependências:**
- TMJ-ETL-009

---
**Épico:** TMJ 2025 - DOCX como Spec de Dados
**Sprint:** Sprint 2
**ID legado:** TMJ-ETL-017
","tmj2025,etl,task,docx-como-spec-de-dados,sprint-2",Sprint 2
18,1,task,TMJ-ETL-011 - Checks de completude do spec (seções obrigatórias e duplicidade),"*ID:* TMJ-ETL-011
*Sprint:* Sprint 3 — Spec executavel e governanca do template
*Épico:* DOCX como Spec de Dados

**Sprint:** Sprint 3 — Spec executavel e governanca do template
**Épico:** DOCX como Spec de Dados

**Contexto:** Mudanças no DOCX podem remover seções/figuras e passar despercebidas, gerando omissões no fechamento.
**Escopo:**
- Inclui: checks de completude e consistência do spec extraído
- Exclui: checks de dados extraídos das fontes (fica no épico de Data Quality)

**Implementação (passos):**
- Implementar `check_required_sections(spec)` com lista configurável de seções obrigatórias.
- Implementar `check_duplicates(spec)` para detectar títulos repetidos e itens ambíguos.
- Produzir findings com severidade (warn/error) para uso no gate.

**Critérios de aceite:**
- [ ] Checks detectam ausência de seções obrigatórias e duplicidade de títulos
- [ ] Findings incluem severidade e referência clara ao item problemático
- [ ] Docstring adicionada (PEP257) descrevendo objetivo, entradas, saídas e exceções
- [ ] (se aplicável) Testes unitários adicionados e passando

**Arquivos afetados:**
- `npbb/core/spec/spec_checks.py`
- `npbb/core/spec/spec_models.py`

**Dependências:**
- TMJ-ETL-005

---
**Épico:** TMJ 2025 - DOCX como Spec de Dados
**Sprint:** Sprint 3
**ID legado:** TMJ-ETL-018
","tmj2025,etl,task,docx-como-spec-de-dados,sprint-3",Sprint 3
19,1,task,TMJ-ETL-012 - Diff de spec entre versões do DOCX (resumo de mudanças),"*ID:* TMJ-ETL-012
*Sprint:* Sprint 3 — Spec executavel e governanca do template
*Épico:* DOCX como Spec de Dados

**Sprint:** Sprint 3 — Spec executavel e governanca do template
**Épico:** DOCX como Spec de Dados

**Contexto:** Precisamos comparar rapidamente duas versões do template para avaliar impacto no pipeline (novas seções, figuras removidas, etc).
**Escopo:**
- Inclui: utilitário de diff (spec A vs spec B) com saída legível
- Exclui: atualização automática de mappings (deve ser manual e revisada)

**Implementação (passos):**
- Implementar `diff_specs(old, new) -> DiffReport` (seções adicionadas/removidas, figuras/tabelas).
- Renderizar diff em Markdown e JSON para auditoria.
- Integrar comando `spec:diff` no CLI.

**Critérios de aceite:**
- [ ] Diff identifica seções/figuras/tabelas adicionadas e removidas
- [ ] Saída do diff é gerada em Markdown e JSON
- [ ] Docstring adicionada (PEP257) descrevendo objetivo, entradas, saídas e exceções
- [ ] (se aplicável) Testes unitários adicionados e passando

**Arquivos afetados:**
- `npbb/core/spec/spec_diff.py`
- `npbb/etl/cli_spec.py`

**Dependências:**
- TMJ-ETL-011

---
**Épico:** TMJ 2025 - DOCX como Spec de Dados
**Sprint:** Sprint 3
**ID legado:** TMJ-ETL-019
","tmj2025,etl,task,docx-como-spec-de-dados,sprint-3",Sprint 3
20,1,task,TMJ-ETL-013 - Gate do spec (bloquear quando itens críticos estiverem inválidos),"*ID:* TMJ-ETL-013
*Sprint:* Sprint 3 — Spec executavel e governanca do template
*Épico:* DOCX como Spec de Dados

**Sprint:** Sprint 3 — Spec executavel e governanca do template
**Épico:** DOCX como Spec de Dados

**Contexto:** Antes de rodar ETL e gerar report, precisamos de um gate automático que impeça execução quando o spec não está completo.
**Escopo:**
- Inclui: comando `spec:gate` que roda checks e valida coverage do mapping
- Exclui: gate de dados (DQ) e gate de geração do Word (fica em épicos próprios)

**Implementação (passos):**
- Implementar `run_spec_gate(docx_path, mapping_path) -> exit_code`.
- Rodar `spec_checks` e `validate_mapping_coverage` e consolidar findings.
- Definir regra de severidade para falha (ex.: qualquer error falha).

**Critérios de aceite:**
- [ ] Gate falha (exit code não-zero) quando há findings de severidade error
- [ ] Gate imprime resumo acionável (itens faltantes e como corrigir)
- [ ] Docstring adicionada (PEP257) descrevendo objetivo, entradas, saídas e exceções
- [ ] (se aplicável) Testes unitários adicionados e passando

**Arquivos afetados:**
- `npbb/etl/cli_spec.py`
- `npbb/core/spec/spec_gate.py`

**Dependências:**
- TMJ-ETL-012
- TMJ-ETL-010

---
**Épico:** TMJ 2025 - DOCX como Spec de Dados
**Sprint:** Sprint 3
**ID legado:** TMJ-ETL-020
","tmj2025,etl,task,docx-como-spec-de-dados,sprint-3",Sprint 3
21,1,task,TMJ-ETL-014 - Política de versionamento do template/spec (config + documentação),"*ID:* TMJ-ETL-014
*Sprint:* Sprint 3 — Spec executavel e governanca do template
*Épico:* DOCX como Spec de Dados

**Sprint:** Sprint 3 — Spec executavel e governanca do template
**Épico:** DOCX como Spec de Dados

**Contexto:** Sem uma política explícita, mudanças no template quebram o pipeline ou geram divergência entre versões de relatório.
**Escopo:**
- Inclui: definir política como config (código) e documentação no repositório
- Exclui: automação de release/CI externa

**Implementação (passos):**
- Criar `npbb/core/spec/policy.py` com constantes e docstring explicando compatibilidade e versão mínima do spec.
- Documentar processo: como atualizar template, rodar diff, atualizar mapping, e revalidar gate.
- Referenciar caminhos padrão dos artefatos gerados (`00_*`, `03_*`).

**Critérios de aceite:**
- [ ] Política existe em código (config) e em documentação humana
- [ ] Processo descreve passos para mudanças e validação (diff + gate)
- [ ] Docstring adicionada (PEP257) descrevendo objetivo, entradas, saídas e exceções
- [ ] (se aplicável) Testes unitários adicionados e passando

**Arquivos afetados:**
- `npbb/core/spec/policy.py`
- `npbb/docs/analises/eventos/tamo_junto_2025/planning/00_docx_as_spec.md`

**Dependências:**
- TMJ-ETL-013

---
**Épico:** TMJ 2025 - DOCX como Spec de Dados
**Sprint:** Sprint 3
**ID legado:** TMJ-ETL-021
","tmj2025,etl,task,docx-como-spec-de-dados,sprint-3",Sprint 3
